
"Number","Food Category","Max Level","Units","Notes"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"01.8.2","Dried whey and whey products, excluding whey cheeses","","GMP",""
"02.2.1","Butter","","GMP",""
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","10,000","mg/kg",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"
"12.1.2","Salt Substitutes","","GMP",""
"13.1.1","Infant formulae","2,000","mg/kg","72  55"
"13.1.2","Follow-up formulae","","GMP","72  316"
"13.1.3","Formulae for special medical purposes for infants","2,000","mg/kg","72  55"
"13.2","Complementary foods for infants and young children","","GMP","295  243  240  319  320"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"06.2.2","Starches","","GMP",""
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","16"
"09.2.4","Cooked and/or fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311"
"12.2.1","Herbs and spices","","GMP","534"


(c) FAO and WHO 2009

